Date,Names,Loan_Purpose,Guarantor,Amount,Payment_Mode,Employment,Other Income,Marital_Status,Loan_Status,Interest_rate
2010-04-26,Daniel,Food,Present,499967,Cash,Employed,No,Single,Approved,8%
2010-04-27,Propser,Others,Present,914915,Online,Unemployed,No,Single,Approved,8%
2010-04-28,Esther,Business,Present,224144,Cash,Unemployed,No,Divorce,Approved,15%
2010-04-29,Eniola,School Fees,Present,265022,Online,Employed,Yes,Married,Rejected,8%
2010-04-30,Janet,Food,Absence,877622,Online,Unemployed,Yes,Single,Approved,20%
2010-05-01,Queen,Food,Present,908609,Online,Unemployed,Yes,Single,Approved,15%
2010-05-02,Queen,Rent,Present,773012,Cash,Employed,Yes,Divorce,Rejected,10%
2010-05-03,Propser,Food,Absence,504955,Online,Unemployed,No,Single,Rejected,10%
2010-05-04,James,Food,Present,530097,Online,Self-employed,No,Divorce,Approved,20%
2010-05-05,Blessing,Business,Present,409020,Online,Unemployed,No,Single,Approved,8%
2010-05-06,John,School Fees,Present,508697,Cash,Unemployed,Yes,Divorce,Rejected,20%
2010-05-07,James,Others,Absence,416121,Online,Employed,No,Divorce,Approved,20%
2010-05-08,James,Business,Absence,95922,Cash,Employed,No,Divorce,Approved,8%
2010-05-09,Blessing,School Fees,Absence,369624,Online,Unemployed,Yes,Divorce,Approved,15%
2010-05-10,Propser,Rent,Present,516134,Cash,Employed,No,Single,Approved,20%
2010-05-11,Blessing,Business,Present,695997,Online,Self-employed,Yes,Married,Rejected,10%
2010-05-12,Paul,School Fees,Absence,221064,Online,Unemployed,No,Married,Approved,10%
2010-05-13,James,School Fees,Absence,472386,Cash,Employed,No,Single,Rejected,20%
2010-05-14,Queen,School Fees,Present,105539,Cash,Self-employed,Yes,Married,Rejected,15%
2010-05-15,Blessing,Business,Absence,331115,Online,Self-employed,Yes,Divorce,Rejected,15%
2010-05-16,Eniola,School Fees,Present,414989,Cash,Unemployed,No,Married,Rejected,10%
2010-05-17,Eniola,School Fees,Present,808495,Online,Unemployed,Yes,Married,Approved,8%
2010-05-18,John,School Fees,Absence,881242,Cash,Employed,No,Married,Rejected,10%
2010-05-19,Eniola,Others,Absence,393141,Cash,Employed,Yes,Divorce,Approved,8%
2010-05-20,Eniola,Others,Present,589822,Online,Unemployed,Yes,Divorce,Rejected,8%
2010-05-21,Janet,Others,Absence,369201,Cash,Self-employed,No,Single,Rejected,20%
2010-05-22,Paul,School Fees,Present,879292,Cash,Self-employed,Yes,Divorce,Rejected,10%
2010-05-23,Blessing,Others,Absence,896985,Online,Employed,No,Married,Rejected,8%
2010-05-24,Blessing,School Fees,Present,930821,Online,Employed,Yes,Divorce,Approved,8%
2010-05-25,Daniel,Others,Absence,421048,Online,Unemployed,No,Divorce,Approved,10%
2010-05-26,Janet,Food,Absence,690331,Online,Unemployed,No,Single,Approved,20%
2010-05-27,Blessing,Rent,Present,967402,Cash,Unemployed,No,Single,Approved,10%
2010-05-28,Esther,Business,Absence,855019,Online,Employed,Yes,Married,Approved,20%
2010-05-29,Daniel,Business,Present,387590,Online,Self-employed,Yes,Divorce,Approved,10%
2010-05-30,Eniola,Business,Present,581306,Online,Self-employed,Yes,Single,Approved,20%
2010-05-31,Blessing,Rent,Absence,444721,Cash,Employed,No,Married,Rejected,15%
2010-06-01,Janet,Business,Present,927032,Online,Employed,No,Single,Rejected,10%
2010-06-02,James,Food,Absence,182417,Online,Employed,Yes,Married,Rejected,15%
2010-06-03,Janet,School Fees,Absence,533146,Online,Unemployed,Yes,Married,Approved,10%
2010-06-04,John,Business,Absence,203652,Online,Unemployed,No,Divorce,Rejected,8%
2010-06-05,Paul,Food,Present,611478,Cash,Employed,Yes,Divorce,Approved,10%
2010-06-06,Blessing,Food,Present,499256,Cash,Unemployed,Yes,Single,Approved,20%
2010-06-07,Daniel,School Fees,Absence,679330,Online,Unemployed,Yes,Single,Rejected,10%
2010-06-08,James,Business,Present,913082,Online,Employed,Yes,Single,Rejected,8%
2010-06-09,Blessing,Business,Present,247923,Online,Self-employed,Yes,Married,Approved,20%
2010-06-10,Blessing,Food,Present,463176,Online,Employed,Yes,Single,Approved,8%
2010-06-11,Eniola,Food,Absence,721001,Cash,Employed,Yes,Divorce,Approved,10%
2010-06-12,John,Others,Present,452043,Online,Employed,No,Married,Rejected,8%
2010-06-13,Daniel,Business,Present,299303,Online,Employed,Yes,Married,Approved,8%
2010-06-14,Daniel,Food,Present,519426,Cash,Employed,Yes,Married,Rejected,8%
2010-06-15,Queen,Rent,Absence,758971,Online,Self-employed,No,Married,Approved,10%
2010-06-16,Propser,Others,Absence,228141,Cash,Employed,No,Married,Approved,10%
2010-06-17,Paul,Others,Present,433642,Cash,Self-employed,No,Married,Approved,20%
2010-06-18,Esther,Food,Absence,157883,Online,Employed,No,Married,Rejected,8%
2010-06-19,Blessing,Food,Absence,627711,Cash,Employed,No,Single,Approved,8%
2010-06-20,Janet,Business,Absence,544827,Cash,Self-employed,No,Divorce,Approved,15%
2010-06-21,Eniola,Food,Absence,930470,Online,Self-employed,No,Divorce,Approved,10%
2010-06-22,Daniel,Rent,Absence,519748,Online,Self-employed,No,Married,Approved,20%
2010-06-23,Blessing,Others,Absence,789857,Online,Unemployed,Yes,Married,Rejected,15%
2010-06-24,John,School Fees,Present,225558,Cash,Employed,No,Single,Approved,15%
2010-06-25,Propser,Food,Present,862458,Cash,Unemployed,No,Married,Rejected,20%
2010-06-26,Esther,School Fees,Present,651152,Online,Unemployed,No,Divorce,Rejected,15%
2010-06-27,Propser,Food,Absence,813474,Online,Self-employed,Yes,Married,Rejected,8%
2010-06-28,Queen,Rent,Absence,138640,Cash,Employed,Yes,Single,Approved,20%
2010-06-29,John,Others,Present,383251,Online,Employed,No,Single,Rejected,15%
2010-06-30,Esther,Rent,Absence,825416,Cash,Unemployed,No,Divorce,Rejected,8%
2010-07-01,Blessing,Business,Absence,373287,Online,Employed,No,Divorce,Rejected,10%
2010-07-02,Eniola,Business,Absence,150796,Online,Unemployed,Yes,Married,Approved,20%
2010-07-03,Paul,Others,Present,114377,Cash,Self-employed,Yes,Divorce,Rejected,20%
2010-07-04,Janet,Others,Present,754178,Online,Employed,Yes,Single,Rejected,15%
2010-07-05,John,School Fees,Present,65088,Online,Self-employed,No,Single,Rejected,15%
2010-07-06,John,Food,Absence,254978,Online,Employed,Yes,Divorce,Rejected,8%
2010-07-07,Queen,Rent,Present,957373,Online,Unemployed,Yes,Divorce,Rejected,15%
2010-07-08,Esther,Others,Present,571287,Cash,Self-employed,No,Single,Approved,20%
2010-07-09,Queen,Business,Absence,450421,Online,Employed,No,Married,Rejected,10%
2010-07-10,Esther,School Fees,Absence,726987,Online,Unemployed,Yes,Single,Approved,10%
2010-07-11,Daniel,School Fees,Present,160101,Online,Employed,Yes,Married,Rejected,10%
2010-07-12,Propser,Business,Absence,654097,Cash,Employed,No,Single,Rejected,8%
2010-07-13,Eniola,Food,Absence,878787,Online,Employed,No,Single,Approved,8%
2010-07-14,Blessing,Food,Absence,241737,Online,Self-employed,Yes,Divorce,Rejected,15%
2010-07-15,Daniel,School Fees,Present,120471,Cash,Unemployed,No,Divorce,Rejected,15%
2010-07-16,Paul,Rent,Present,925824,Cash,Unemployed,No,Single,Approved,20%
2010-07-17,John,Others,Present,665918,Cash,Employed,Yes,Married,Approved,15%
2010-07-18,Daniel,Others,Present,356678,Online,Unemployed,Yes,Single,Rejected,8%
2010-07-19,Janet,School Fees,Present,699463,Cash,Employed,No,Married,Rejected,15%
2010-07-20,Queen,School Fees,Present,322434,Cash,Employed,No,Single,Approved,15%
2010-07-21,Paul,Others,Absence,621760,Cash,Self-employed,Yes,Divorce,Rejected,10%
2010-07-22,Paul,Others,Present,374153,Online,Employed,Yes,Married,Rejected,10%
2010-07-23,Eniola,Business,Absence,166131,Cash,Unemployed,Yes,Single,Approved,15%
2010-07-24,Esther,Rent,Absence,236277,Cash,Employed,No,Married,Rejected,10%
2010-07-25,Eniola,Rent,Present,177781,Online,Unemployed,Yes,Single,Approved,20%
2010-07-26,Paul,Others,Absence,858269,Online,Employed,No,Married,Rejected,15%
2010-07-27,Blessing,Food,Absence,161767,Online,Unemployed,No,Single,Rejected,10%
2010-07-28,Queen,School Fees,Present,356107,Cash,Employed,No,Married,Rejected,10%
2010-07-29,Daniel,Rent,Present,906649,Cash,Unemployed,Yes,Divorce,Approved,15%
2010-07-30,Paul,Others,Present,494022,Online,Employed,No,Single,Rejected,10%
2010-07-31,Janet,Rent,Absence,785377,Online,Unemployed,Yes,Single,Approved,15%
2010-08-01,Queen,Others,Present,68059,Cash,Employed,Yes,Divorce,Rejected,20%
2010-08-02,John,School Fees,Absence,276153,Online,Self-employed,Yes,Single,Rejected,8%
2010-08-03,Daniel,Others,Absence,103010,Cash,Employed,No,Single,Approved,20%
2010-08-04,Paul,Business,Present,738227,Online,Employed,Yes,Single,Rejected,15%
2010-08-05,Janet,Business,Present,173218,Cash,Employed,Yes,Married,Approved,15%
2010-08-06,Janet,Business,Absence,642812,Cash,Self-employed,Yes,Single,Approved,15%
2010-08-07,Blessing,Business,Present,828956,Online,Self-employed,Yes,Divorce,Rejected,10%
2010-08-08,Propser,School Fees,Absence,411240,Cash,Employed,No,Married,Rejected,8%
2010-08-09,James,Business,Present,586982,Cash,Unemployed,No,Divorce,Approved,8%
2010-08-10,John,Business,Present,266126,Online,Unemployed,No,Married,Approved,20%
2010-08-11,John,Food,Present,341160,Cash,Employed,Yes,Single,Approved,8%
2010-08-12,James,Others,Present,208387,Cash,Unemployed,Yes,Married,Approved,20%
2010-08-13,Blessing,School Fees,Present,241126,Cash,Employed,No,Married,Rejected,8%
2010-08-14,Queen,School Fees,Present,771884,Online,Unemployed,No,Married,Rejected,20%
2010-08-15,Janet,Others,Present,950269,Online,Unemployed,Yes,Married,Rejected,10%
2010-08-16,Eniola,Food,Present,476163,Cash,Employed,No,Single,Rejected,15%
2010-08-17,Propser,Rent,Absence,854394,Cash,Self-employed,No,Divorce,Approved,15%
2010-08-18,Esther,Rent,Absence,471683,Cash,Employed,No,Single,Approved,10%
2010-08-19,James,Rent,Absence,899051,Cash,Self-employed,No,Married,Rejected,20%
2010-08-20,James,Rent,Present,991101,Cash,Self-employed,No,Married,Approved,8%
2010-08-21,Propser,Rent,Absence,89176,Online,Employed,No,Single,Rejected,8%
2010-08-22,Queen,School Fees,Absence,353058,Cash,Unemployed,No,Divorce,Rejected,20%
2010-08-23,Esther,Business,Absence,204028,Online,Employed,Yes,Married,Approved,8%
2010-08-24,Blessing,Rent,Absence,432051,Cash,Self-employed,No,Divorce,Approved,8%
2010-08-25,Blessing,Others,Present,76719,Online,Employed,No,Divorce,Approved,15%
2010-08-26,Daniel,Business,Absence,895147,Online,Self-employed,Yes,Single,Rejected,15%
2010-08-27,Paul,Food,Present,156511,Cash,Employed,Yes,Divorce,Approved,20%
2010-08-28,Daniel,Others,Absence,467583,Cash,Employed,No,Married,Rejected,8%
2010-08-29,Esther,Business,Present,580047,Online,Unemployed,No,Single,Rejected,20%
2010-08-30,Blessing,Others,Present,530016,Cash,Employed,Yes,Divorce,Approved,15%
2010-08-31,Daniel,Business,Absence,930367,Cash,Self-employed,Yes,Single,Approved,20%
2010-09-01,Queen,Rent,Absence,172811,Cash,Unemployed,Yes,Married,Rejected,20%
2010-09-02,Queen,Food,Absence,283355,Online,Employed,No,Divorce,Approved,8%
2010-09-03,John,School Fees,Present,417485,Online,Self-employed,No,Single,Approved,8%
2010-09-04,Blessing,Others,Absence,680306,Cash,Employed,No,Divorce,Approved,10%
2010-09-05,Blessing,Others,Present,389383,Cash,Employed,No,Single,Rejected,8%
2010-09-06,Daniel,Food,Absence,958591,Online,Unemployed,No,Divorce,Approved,20%
2010-09-07,Esther,Rent,Present,82272,Cash,Self-employed,No,Single,Approved,10%
2010-09-08,Blessing,Others,Present,595129,Online,Self-employed,Yes,Married,Approved,20%
2010-09-09,Esther,School Fees,Present,194923,Cash,Self-employed,Yes,Married,Rejected,8%
2010-09-10,John,School Fees,Present,118935,Online,Employed,Yes,Divorce,Approved,8%
2010-09-11,Janet,School Fees,Present,397857,Online,Self-employed,No,Married,Rejected,8%
2010-09-12,Queen,Rent,Present,904748,Cash,Employed,Yes,Single,Approved,8%
2010-09-13,John,Others,Present,974137,Cash,Unemployed,No,Single,Approved,8%
2010-09-14,Esther,Business,Absence,180720,Online,Unemployed,Yes,Married,Approved,15%
2010-09-15,Janet,Food,Absence,453132,Cash,Self-employed,No,Single,Approved,15%
2010-09-16,Queen,Others,Present,793746,Online,Unemployed,No,Single,Approved,8%
2010-09-17,James,School Fees,Present,371643,Cash,Employed,No,Married,Rejected,20%
2010-09-18,Daniel,Rent,Present,179496,Online,Self-employed,No,Married,Approved,20%
2010-09-19,Daniel,Others,Absence,599274,Cash,Employed,Yes,Single,Rejected,10%
2010-09-20,John,Others,Present,305570,Online,Unemployed,Yes,Divorce,Rejected,8%
2010-09-21,Janet,School Fees,Present,240372,Online,Self-employed,No,Married,Rejected,20%
2010-09-22,Paul,Food,Present,211538,Cash,Self-employed,Yes,Divorce,Approved,15%
2010-09-23,Blessing,School Fees,Absence,125719,Online,Self-employed,No,Married,Rejected,15%
2010-09-24,Esther,Others,Present,475593,Online,Employed,No,Single,Rejected,15%
2010-09-25,James,Business,Present,840216,Online,Unemployed,Yes,Married,Rejected,8%
2010-09-26,Janet,Others,Present,345922,Online,Self-employed,Yes,Single,Approved,20%
2010-09-27,John,Others,Absence,530528,Cash,Employed,Yes,Single,Approved,20%
2010-09-28,Daniel,Business,Absence,266934,Cash,Unemployed,No,Married,Rejected,10%
2010-09-29,Janet,Others,Present,525875,Online,Employed,Yes,Married,Rejected,15%
2010-09-30,Esther,Others,Present,641352,Cash,Unemployed,Yes,Single,Approved,8%
2010-10-01,Propser,School Fees,Absence,422221,Online,Unemployed,No,Single,Rejected,8%
2010-10-02,Janet,Others,Absence,698128,Online,Employed,Yes,Married,Approved,8%
2010-10-03,Blessing,Rent,Present,236656,Online,Self-employed,Yes,Married,Rejected,10%
2010-10-04,Eniola,Business,Present,805784,Online,Unemployed,Yes,Married,Approved,8%
2010-10-05,James,Rent,Absence,906276,Online,Unemployed,Yes,Single,Approved,20%
2010-10-06,John,Business,Absence,888806,Online,Unemployed,Yes,Divorce,Rejected,10%
2010-10-07,Eniola,Rent,Present,389255,Cash,Employed,No,Single,Approved,20%
2010-10-08,Propser,Others,Absence,664237,Cash,Employed,Yes,Married,Approved,10%
2010-10-09,Blessing,Business,Present,933169,Online,Unemployed,Yes,Divorce,Approved,8%
2010-10-10,Blessing,Others,Present,608081,Online,Self-employed,No,Divorce,Approved,15%
2010-10-11,John,School Fees,Absence,391688,Online,Unemployed,No,Single,Approved,15%
2010-10-12,Eniola,Food,Present,184825,Online,Employed,No,Single,Rejected,20%
2010-10-13,Esther,Business,Present,495420,Online,Self-employed,Yes,Married,Rejected,20%
2010-10-14,Janet,Food,Present,257947,Cash,Unemployed,No,Single,Approved,8%
2010-10-15,John,Rent,Absence,195205,Cash,Employed,No,Married,Rejected,8%
2010-10-16,Propser,Rent,Present,685141,Online,Employed,Yes,Divorce,Rejected,15%
2010-10-17,Daniel,School Fees,Absence,703960,Cash,Self-employed,No,Divorce,Approved,8%
2010-10-18,Paul,Food,Present,949310,Online,Self-employed,Yes,Divorce,Rejected,10%
2010-10-19,John,Business,Present,64198,Online,Unemployed,Yes,Married,Rejected,20%
2010-10-20,James,School Fees,Absence,491348,Online,Unemployed,No,Divorce,Rejected,10%
2010-10-21,John,Food,Present,85461,Cash,Unemployed,No,Divorce,Approved,20%
2010-10-22,John,Business,Absence,74032,Online,Self-employed,Yes,Divorce,Rejected,20%
2010-10-23,Propser,Rent,Present,633987,Online,Employed,Yes,Married,Rejected,15%
2010-10-24,John,Food,Present,561998,Cash,Self-employed,No,Divorce,Rejected,8%
2010-10-25,Queen,Others,Absence,152714,Online,Unemployed,No,Single,Rejected,8%
2010-10-26,Esther,School Fees,Absence,231368,Online,Self-employed,No,Divorce,Approved,8%
2010-10-27,Eniola,Business,Present,544028,Cash,Self-employed,Yes,Married,Rejected,20%
2010-10-28,Propser,Rent,Absence,63854,Online,Self-employed,No,Single,Approved,20%
2010-10-29,Daniel,Rent,Absence,610587,Cash,Employed,Yes,Divorce,Rejected,8%
2010-10-30,Daniel,Rent,Absence,783259,Online,Employed,No,Single,Rejected,15%
2010-10-31,Propser,School Fees,Present,338812,Online,Self-employed,Yes,Divorce,Approved,15%
2010-11-01,Blessing,Others,Absence,885039,Cash,Self-employed,No,Divorce,Rejected,15%
2010-11-02,Blessing,Rent,Absence,841000,Cash,Unemployed,No,Divorce,Approved,10%
2010-11-03,Propser,Business,Absence,660868,Cash,Employed,Yes,Divorce,Rejected,8%
2010-11-04,Esther,Business,Present,924915,Cash,Employed,No,Married,Approved,15%
2010-11-05,Eniola,Rent,Present,745247,Online,Self-employed,Yes,Single,Rejected,20%
2010-11-06,Blessing,Rent,Absence,709684,Online,Unemployed,No,Divorce,Rejected,8%
2010-11-07,John,Rent,Present,171826,Online,Employed,No,Divorce,Approved,10%
2010-11-08,John,Business,Absence,957753,Cash,Unemployed,No,Single,Rejected,15%
2010-11-09,Daniel,School Fees,Present,424705,Cash,Unemployed,No,Divorce,Rejected,15%
2010-11-10,Queen,Rent,Absence,362843,Cash,Unemployed,No,Divorce,Approved,8%
2010-11-11,Queen,Business,Present,746222,Online,Self-employed,No,Divorce,Rejected,10%
2010-11-12,Queen,Food,Absence,735138,Cash,Self-employed,Yes,Single,Rejected,20%
2010-11-13,Janet,Food,Absence,148795,Cash,Self-employed,No,Single,Rejected,20%
2010-11-14,Janet,Food,Present,883948,Cash,Employed,Yes,Divorce,Rejected,15%
2010-11-15,Blessing,Food,Present,373027,Cash,Self-employed,Yes,Married,Rejected,10%
2010-11-16,James,Others,Absence,746578,Cash,Employed,Yes,Single,Approved,20%
2010-11-17,Esther,Food,Present,474090,Cash,Self-employed,Yes,Divorce,Rejected,15%
2010-11-18,Janet,School Fees,Absence,209101,Online,Unemployed,Yes,Divorce,Approved,10%
2010-11-19,Eniola,Others,Absence,463786,Online,Self-employed,Yes,Divorce,Rejected,15%
2010-11-20,Esther,Rent,Absence,62343,Cash,Unemployed,Yes,Married,Approved,8%
2010-11-21,John,Rent,Present,664788,Online,Self-employed,Yes,Married,Rejected,8%
2010-11-22,Propser,Rent,Present,393681,Cash,Employed,Yes,Divorce,Approved,8%
2010-11-23,Propser,Others,Present,626092,Cash,Employed,Yes,Divorce,Rejected,15%
2010-11-24,Eniola,Food,Absence,838079,Online,Unemployed,No,Married,Approved,20%
2010-11-25,John,Others,Absence,747632,Online,Unemployed,Yes,Single,Rejected,15%
2010-11-26,Daniel,Food,Present,198451,Online,Unemployed,Yes,Divorce,Rejected,20%
2010-11-27,Eniola,School Fees,Present,104573,Cash,Self-employed,Yes,Single,Rejected,10%
2010-11-28,Esther,School Fees,Absence,890036,Cash,Employed,No,Single,Approved,10%
2010-11-29,Janet,Food,Present,497881,Online,Unemployed,No,Married,Approved,15%
2010-11-30,Blessing,Others,Absence,168741,Cash,Employed,Yes,Married,Rejected,10%
2010-12-01,Janet,Food,Absence,817033,Online,Self-employed,Yes,Single,Approved,20%
2010-12-02,Propser,Rent,Present,637670,Online,Unemployed,Yes,Married,Rejected,10%
2010-12-03,James,School Fees,Absence,528620,Cash,Employed,Yes,Married,Rejected,10%
2010-12-04,Paul,Business,Present,632413,Online,Unemployed,No,Single,Approved,10%
2010-12-05,Propser,School Fees,Absence,827304,Online,Unemployed,Yes,Divorce,Rejected,20%
2010-12-06,Paul,Others,Present,449694,Cash,Unemployed,No,Divorce,Approved,10%
2010-12-07,Blessing,School Fees,Absence,383968,Cash,Self-employed,Yes,Divorce,Rejected,8%
2010-12-08,James,Rent,Absence,634434,Online,Unemployed,No,Divorce,Approved,8%
2010-12-09,Esther,Food,Present,478574,Cash,Employed,No,Divorce,Rejected,8%
2010-12-10,James,Business,Present,849018,Online,Self-employed,No,Single,Approved,8%
2010-12-11,Janet,Food,Absence,577078,Online,Unemployed,No,Married,Rejected,8%
2010-12-12,Propser,School Fees,Absence,925303,Online,Unemployed,Yes,Single,Rejected,20%
2010-12-13,Daniel,Business,Present,798729,Cash,Unemployed,No,Single,Approved,15%
2010-12-14,John,Rent,Absence,349771,Online,Self-employed,No,Married,Rejected,20%
2010-12-15,Esther,Others,Absence,445269,Cash,Self-employed,Yes,Married,Rejected,15%
2010-12-16,Paul,Others,Present,446881,Online,Unemployed,No,Married,Rejected,8%
2010-12-17,Paul,Others,Present,87564,Online,Unemployed,Yes,Divorce,Approved,15%
2010-12-18,Blessing,School Fees,Absence,957764,Online,Employed,No,Married,Approved,10%
2010-12-19,Eniola,Others,Present,927155,Cash,Self-employed,Yes,Single,Rejected,8%
2010-12-20,Esther,Food,Absence,257916,Online,Employed,Yes,Single,Approved,10%
2010-12-21,Eniola,Rent,Present,826956,Online,Self-employed,No,Single,Rejected,20%
2010-12-22,John,Food,Present,906024,Cash,Unemployed,No,Single,Approved,20%
2010-12-23,John,Business,Present,575919,Online,Unemployed,No,Single,Rejected,8%
2010-12-24,Blessing,Others,Absence,901256,Online,Self-employed,Yes,Married,Rejected,20%
2010-12-25,Queen,Food,Absence,221490,Online,Self-employed,Yes,Married,Approved,20%
2010-12-26,Esther,Business,Absence,827558,Online,Unemployed,No,Divorce,Approved,15%
2010-12-27,Daniel,School Fees,Absence,693893,Cash,Self-employed,Yes,Married,Rejected,20%
2010-12-28,Blessing,Rent,Absence,232336,Cash,Employed,No,Divorce,Rejected,20%
2010-12-29,Blessing,Rent,Present,791976,Online,Self-employed,No,Married,Rejected,10%
2010-12-30,Esther,Business,Present,450797,Online,Employed,No,Married,Rejected,20%
2010-12-31,Queen,Rent,Present,822465,Online,Unemployed,No,Single,Approved,10%
2011-01-01,Daniel,Food,Absence,573974,Online,Unemployed,No,Divorce,Approved,15%
2011-01-02,Janet,Food,Present,797187,Online,Self-employed,No,Divorce,Approved,20%
2011-01-03,Eniola,Food,Absence,173764,Cash,Unemployed,Yes,Divorce,Approved,8%
2011-01-04,Esther,Business,Absence,559109,Online,Self-employed,Yes,Married,Approved,15%
2011-01-05,Eniola,School Fees,Absence,525557,Online,Self-employed,No,Single,Approved,8%
2011-01-06,John,Rent,Present,542688,Online,Self-employed,Yes,Single,Rejected,20%
2011-01-07,Propser,Business,Absence,498749,Cash,Self-employed,No,Divorce,Rejected,10%
2011-01-08,Eniola,Business,Absence,494992,Online,Unemployed,Yes,Divorce,Approved,10%
2011-01-09,James,Food,Present,569827,Cash,Unemployed,No,Single,Rejected,15%
2011-01-10,Paul,Food,Present,862705,Online,Unemployed,Yes,Married,Rejected,20%
2011-01-11,John,Others,Absence,457222,Online,Self-employed,Yes,Divorce,Approved,20%
2011-01-12,Daniel,School Fees,Absence,580054,Online,Self-employed,Yes,Divorce,Approved,8%
2011-01-13,Janet,School Fees,Absence,305194,Online,Unemployed,Yes,Divorce,Approved,20%
2011-01-14,Queen,Rent,Absence,718495,Online,Self-employed,No,Divorce,Rejected,15%
2011-01-15,Eniola,Others,Present,98078,Online,Self-employed,Yes,Single,Rejected,8%
2011-01-16,John,Rent,Absence,855910,Cash,Employed,No,Single,Rejected,15%
2011-01-17,Paul,Food,Absence,359534,Cash,Unemployed,No,Married,Rejected,8%
2011-01-18,Eniola,Food,Absence,216142,Cash,Employed,No,Married,Rejected,8%
2011-01-19,Daniel,Food,Absence,525778,Cash,Self-employed,Yes,Single,Rejected,20%
2011-01-20,Propser,Others,Absence,296497,Cash,Self-employed,No,Single,Approved,15%
2011-01-21,James,Business,Absence,143257,Online,Employed,Yes,Married,Rejected,15%
2011-01-22,Daniel,Food,Absence,782064,Online,Self-employed,Yes,Single,Rejected,10%
2011-01-23,Paul,Food,Present,906773,Cash,Self-employed,No,Single,Rejected,20%
2011-01-24,James,Business,Absence,847421,Online,Self-employed,Yes,Married,Approved,20%
2011-01-25,John,Business,Absence,569659,Cash,Unemployed,No,Divorce,Rejected,10%
2011-01-26,Eniola,Food,Absence,74403,Online,Employed,Yes,Divorce,Approved,8%
2011-01-27,Queen,Rent,Present,369865,Online,Self-employed,No,Single,Rejected,10%
2011-01-28,John,Rent,Absence,515185,Cash,Employed,Yes,Single,Approved,20%
2011-01-29,Janet,School Fees,Present,579145,Cash,Employed,No,Single,Rejected,8%
2011-01-30,Propser,Others,Present,256560,Cash,Employed,Yes,Single,Rejected,20%
2011-01-31,Janet,Rent,Present,304278,Online,Unemployed,No,Married,Approved,8%
2011-02-01,John,Business,Present,370814,Cash,Employed,No,Divorce,Rejected,8%
2011-02-02,John,Food,Absence,693140,Cash,Self-employed,Yes,Married,Rejected,8%
2011-02-03,Janet,School Fees,Present,254157,Cash,Employed,Yes,Divorce,Rejected,15%
2011-02-04,Queen,Rent,Absence,747487,Online,Unemployed,Yes,Single,Rejected,15%
2011-02-05,Eniola,Food,Absence,746377,Online,Employed,No,Divorce,Rejected,20%
2011-02-06,Esther,Others,Present,282174,Online,Self-employed,Yes,Divorce,Approved,8%
2011-02-07,Queen,School Fees,Present,64886,Online,Self-employed,No,Married,Approved,20%
2011-02-08,Propser,School Fees,Present,960324,Cash,Unemployed,Yes,Single,Rejected,8%
2011-02-09,Blessing,School Fees,Present,182046,Online,Self-employed,No,Divorce,Approved,8%
2011-02-10,Eniola,Others,Present,596199,Cash,Unemployed,No,Divorce,Rejected,20%
2011-02-11,Daniel,Others,Present,905086,Online,Self-employed,No,Married,Rejected,20%
2011-02-12,Esther,School Fees,Present,277794,Cash,Self-employed,Yes,Married,Approved,8%
2011-02-13,Janet,School Fees,Absence,961257,Cash,Self-employed,Yes,Married,Approved,8%
2011-02-14,Propser,School Fees,Absence,152082,Cash,Self-employed,Yes,Married,Approved,8%
2011-02-15,Queen,Others,Present,567401,Cash,Employed,No,Married,Approved,15%
2011-02-16,Daniel,School Fees,Absence,402971,Online,Self-employed,Yes,Divorce,Approved,15%
2011-02-17,Daniel,Food,Absence,459416,Cash,Self-employed,No,Married,Approved,10%
2011-02-18,Esther,Rent,Present,734084,Cash,Employed,Yes,Married,Rejected,15%
2011-02-19,Paul,Business,Present,88973,Cash,Employed,No,Single,Rejected,10%
2011-02-20,Eniola,Food,Present,855743,Cash,Self-employed,No,Single,Rejected,8%
2011-02-21,Propser,School Fees,Present,392481,Cash,Employed,No,Divorce,Approved,10%
2011-02-22,Propser,Others,Present,809525,Online,Self-employed,No,Divorce,Rejected,8%
2011-02-23,Janet,Rent,Present,100008,Online,Self-employed,Yes,Divorce,Approved,10%
2011-02-24,Eniola,Food,Absence,734831,Cash,Self-employed,No,Married,Rejected,15%
2011-02-25,Propser,Food,Present,751982,Cash,Unemployed,Yes,Married,Approved,20%
2011-02-26,Esther,Food,Absence,536244,Cash,Unemployed,No,Married,Rejected,20%
2011-02-27,Propser,Others,Absence,495391,Online,Employed,No,Divorce,Rejected,15%
2011-02-28,James,School Fees,Absence,653802,Cash,Self-employed,Yes,Single,Rejected,10%
2011-03-01,Queen,Business,Present,461400,Online,Employed,No,Married,Approved,20%
2011-03-02,Daniel,Rent,Present,416674,Cash,Self-employed,No,Single,Approved,20%
2011-03-03,John,Rent,Present,285880,Cash,Employed,Yes,Divorce,Approved,20%
2011-03-04,Blessing,Rent,Present,258077,Online,Employed,Yes,Single,Rejected,15%
2011-03-05,Propser,Others,Present,445412,Online,Self-employed,No,Married,Approved,10%
2011-03-06,John,Rent,Present,193013,Cash,Unemployed,No,Divorce,Approved,20%
2011-03-07,John,School Fees,Absence,842331,Online,Unemployed,No,Divorce,Approved,10%
2011-03-08,Janet,Business,Present,261900,Cash,Employed,Yes,Married,Rejected,10%
